formula,avg_1st_ionization_potential_(kJ/mol),avg_Allred-Rockow_electronegativity,avg_Atomic_Number,avg_Atomic_Radus,avg_Atomic_Weight,avg_Boiling_Point_(K),avg_Cohesive_energy,avg_Covalent_Radius,avg_Critical_Temperature,avg_Density_(g/mL),avg_Gordy_electonegativity,avg_Melting_point_(K),avg_Mendele_Number,avg_Molar_Denstiy_(mol/ml),avg_Molar_Heat_Capacity(J/mol_K),avg_Nagle_electonegativity,avg_Number_of_unfilled_d_valence_electrons,avg_Number_of_unfilled_f_valence_electrons,avg_Number_of_unfilled_p_valence_electrons,avg_Number_of_unfilled_s_valence_electrons,avg_Orbital_Radius(pm),avg_Pauling_Electronegativity,avg_Period,avg_Zunger_radii_sum,avg_abs_valence,avg_families,avg_gilmor_number_of_valence_electron,avg_group,avg_heat_atomization(kJ/mol),avg_heat_of_fusion_(kJ/mol)_,avg_heat_of_vaporization_(kJ/mol)_,avg_ionic_radius,avg_l_quantum_number,avg_metallic_valence,avg_number_of_valence_electrons,avg_outer_shell_electrons,avg_polarizability(A^3),avg_specific_heat_(J/g_K)_,avg_thermal_conductivity_(W/(m_K))_,avg_valence_d,avg_valence_f,avg_valence_p,avg_valence_s,sum_1st_ionization_potential_(kJ/mol),sum_Allred-Rockow_electronegativity,sum_Atomic_Number,sum_Atomic_Radus,sum_Atomic_Weight,sum_Boiling_Point_(K),sum_Cohesive_energy,sum_Covalent_Radius,sum_Critical_Temperature,sum_Density_(g/mL),sum_Gordy_electonegativity,sum_Melting_point_(K),sum_Mendele_Number,sum_Molar_Denstiy_(mol/ml),sum_Molar_Heat_Capacity(J/mol_K),sum_Nagle_electonegativity,sum_Number_of_unfilled_d_valence_electrons,sum_Number_of_unfilled_f_valence_electrons,sum_Number_of_unfilled_p_valence_electrons,sum_Number_of_unfilled_s_valence_electrons,sum_Orbital_Radius(pm),sum_Pauling_Electronegativity,sum_Period,sum_Zunger_radii_sum,sum_abs_valence,sum_families,sum_gilmor_number_of_valence_electron,sum_group,sum_heat_atomization(kJ/mol),sum_heat_of_fusion_(kJ/mol)_,sum_heat_of_vaporization_(kJ/mol)_,sum_ionic_radius,sum_l_quantum_number,sum_metallic_valence,sum_number_of_valence_electrons,sum_outer_shell_electrons,sum_polarizability(A^3),sum_specific_heat_(J/g_K)_,sum_thermal_conductivity_(W/(m_K))_,sum_valence_d,sum_valence_f,sum_valence_p,sum_valence_s,range_1st_ionization_potential_(kJ/mol),range_Allred-Rockow_electronegativity,range_Atomic_Number,range_Atomic_Radus,range_Atomic_Weight,range_Boiling_Point_(K),range_Cohesive_energy,range_Covalent_Radius,range_Critical_Temperature,range_Density_(g/mL),range_Gordy_electonegativity,range_Melting_point_(K),range_Mendele_Number,range_Molar_Denstiy_(mol/ml),range_Molar_Heat_Capacity(J/mol_K),range_Nagle_electonegativity,range_Number_of_unfilled_d_valence_electrons,range_Number_of_unfilled_f_valence_electrons,range_Number_of_unfilled_p_valence_electrons,range_Number_of_unfilled_s_valence_electrons,range_Orbital_Radius(pm),range_Pauling_Electronegativity,range_Period,range_Zunger_radii_sum,range_abs_valence,range_families,range_gilmor_number_of_valence_electron,range_group,range_heat_atomization(kJ/mol),range_heat_of_fusion_(kJ/mol)_,range_heat_of_vaporization_(kJ/mol)_,range_ionic_radius,range_l_quantum_number,range_metallic_valence,range_number_of_valence_electrons,range_outer_shell_electrons,range_polarizability(A^3),range_specific_heat_(J/g_K)_,range_thermal_conductivity_(W/(m_K))_,range_valence_d,range_valence_f,range_valence_p,range_valence_s,target
NaLaS3,806.8,1.946,23.2,1.298,51.622,1407.37,2.826,1.258,3403,2.666,4.922,544.39,55.8,0.052,24.596,1.892,9.8,14,3.6,0.2,121.16,1.954,3.6,1.806,2.8,5,4,10.4,273.8,2.792,108.072,1.35,1,2,4.4,4.2,12.68,0.71,31.062,0.2,0,2.4,1.8,4034,9.73,116,6.49,258.11,7036.85,14.13,6.29,17015,13.33,24.61,2721.95,279,0.26,122.98,9.46,49,70,18,1,605.8,9.77,18,9.03,14,25,20,52,1369,13.96,540.36,6.75,5,10,22,21,63.4,3.55,155.31,1,0,12,9,504,1.72,46,1.07,115.92,3009.3,3.36,0.67,9186,5.18,3.31,822.2,86,0.02,5.51,1.54,1,0,4,1,110.5,1.65,3,1.98,3,6,5,15,314,4.48,404.2,0.95,2,2,5,5,28.2,1.04,140.73,1,0,4,1,2.61
Ge0.02Si0.98,786.5,1.9214,14.36,1.1128,28.9804,2637.65,4.6144,1.1122,5223.82,2.3898,4.199,1673.898,78.02,0.0798,20.006,1.8688,10,14,4,0,106.844,1.9022,3.02,1.4228,2,6,4,14,450.5,50.2778,383.1536,1.103,1,4,4,4,5.414,0.7022,146.238,0,0,2,2,786.5,1.9214,14.36,1.1128,28.9804,2637.65,4.6144,1.1122,5223.82,2.3898,4.199,1673.898,78.02,0.0798,20.006,1.8688,10,14,4,0,106.844,1.9022,3.02,1.4228,2,6,4,14,450.5,50.2778,383.1536,1.103,1,4,4,4,5.414,0.7022,146.238,0,0,2,2,25,0.07,18,0.14,44.52,475,0.78,0.11,3241,2.99,0.45,462.6,1,0.01,3.3,0.06,0,0,0,0,2.2,0.11,1,0.14,0,0,0,0,75,13.61,53.32,0.15,0,0,0,0,0.7,0.39,88.1,0,0,0,0,1.08
Bi2Te0.9Se2.1,832.84,2.2134,56.84,1.226,139.723348,1363.014,2.2994,1.3142,3005.16,7.035,5.32992,553.6,87.98,0.05288,25.23805776,2.0766,4.2,8.4,2.4,0,110.354,2.257,4.98,1.6412,3.6,6.02,5.6,15.6,213.6,10.478,67.213,1.375,1,2.4,5.6,4.88,5.546,0.2184,3.7894,5.8,5.6,3.6,2,4164.2,11.067,284.2,6.13,698.61674,6815.07,11.497,6.571,15025.8,35.175,26.6496,2768,439.9,0.2644,126.1902888,10.383,21,42,12,0,551.77,11.285,24.9,8.206,18,30.1,28,78,1068,52.39,336.065,6.875,5,12,28,24.4,27.73,1.092,18.947,29,28,18,10,238,0.42,49,0.4,130.02037,875,0.28,0.3,2863,4.96,0.9312,232.5,4,0.0133,0.4423556,0.48,10,14,1,0,37.7,0.53,2,0.707,1,2,1,1,30,10.8,67.1,0.45,0,1,1,4,3.6,0.2,7.35,10,14,1,0,0.28
Cs2ZnGe3S8,853.1428571,2.114285714,26,1.297857143,57.54285714,1293.978571,2.664285714,1.259285714,3069.142857,3.099285714,5.237857143,574.65,72.85714286,0.058571429,24.37,2.027857143,9.285714286,14,3.285714286,0.142857143,113.2214286,2.135714286,3.714285714,1.712857143,2.857142857,5.714285714,4.5,13.14285714,260.8571429,9.72,94.42,1.307142857,0.928571429,2.46,5.285714286,4.571428571,11.93571429,0.536428571,26.40428571,0.714285714,0,2.714285714,1.857142857,11944,29.6,364,18.17,805.6,18115.7,37.3,17.63,42968,43.39,73.33,8045.1,1020,0.82,341.18,28.39,130,196,46,2,1585.1,29.9,52,23.98,40,80,63,184,3652,136.08,1321.88,18.3,13,34.44,74,64,167.1,7.51,369.66,10,0,38,26,624,1.93,39,2.1,100.84,2385.3,3.05,1.23,7086,5.26,2.1,919,83,0.1,9.13,1.7,10,0,4,1,170.8,1.79,3,3.21,4,6,5,15,298,35.22,321.1,1.6,2,3.44,11,5,56.7,0.47,115.73,10,0,4,1,3.332
Hg4P2HfCl6,1093.615385,2.301538462,40.30769231,1.201538462,96.57615385,763.95,1.875384615,1.193846154,1679.212308,5.456923077,6.947538462,392.6576923,81.46153846,0.035669231,22.02589538,2.209230769,6.769230769,8.615384615,3.230769231,0,93.6,2.510769231,4.153846154,1.622307692,2.923076923,6.307692308,4.461538462,14.15384615,170.6923077,4.149230769,69.02892308,1.196153846,1.384615385,2.135384615,8,4.769230769,4.476923077,0.393538462,4.376923077,3.230769231,5.384615385,2.769230769,2,14217,29.92,524,15.62,1255.49,9931.35,24.38,15.52,21829.76,70.94,90.318,5104.55,1059,0.4637,286.33664,28.72,88,112,42,0,1216.8,32.64,54,21.09,38,82,58,184,2219,53.94,897.376,15.55,18,27.76,104,62,58.2,5.116,56.9,42,70,36,26,592,1.71,65,1.29,169.62,4634.6,5.77,0.51,9983.04,13.5,3.2869,2328,49,0.0745,10.86201,1.62,10,14,5,0,75.1,1.86,3,1.9,5,4,6,13,558,23.4,564.8,0.55,1,4.44,8,5,14,0.631,22.99,10,14,5,0,3.26
CsF,1028.5,2.425,32,1.7,75.955,513.6,0.82,1.48,1041.16,0.935,7.26,177.45,49,0.005,23.74,2.51,10,14,3.5,0.5,145.7,2.385,4,2.36,3,4.5,4,9,79,1.175,35.505,1.55,0.5,0.5,4,4,30.115,0.53,17.965,0,0,2.5,1.5,2057,4.85,64,3.4,151.91,1027.2,1.64,2.96,2082.32,1.87,14.52,354.9,98,0.01,47.48,5.02,20,28,7,1,291.4,4.77,8,4.72,6,9,8,18,158,2.35,71.01,3.1,1,1,8,8,60.23,1.06,35.93,0,0,5,3,1305,3.53,46,2.56,113.91,857.1,0.04,1.54,1793.68,1.87,5.66,248.2,88,0.01,16.32,3.44,0,0,5,1,212.2,3.19,4,3.9,4,7,6,16,0,1.83,64.47,2.1,1,1,6,6,58.97,0.58,35.87,0,0,5,1,10
NaInS2,763.5,1.9275,23,1.305,50.4875,1236.25,2.3325,1.255,2982.75,3.105,4.6175,393.15,63.25,0.055,25.0575,1.8625,7.5,14,3.75,0.25,117.875,1.9675,3.5,1.725,2.5,5,4,11.5,227.5,2.325,87.015,1.3375,0.75,2.11,4,3.75,9.775,0.72,55.785,2.5,0,2.25,1.75,3054,7.71,92,5.22,201.95,4945,9.33,5.02,11931,12.42,18.47,1572.6,253,0.22,100.23,7.45,30,56,15,1,471.5,7.87,14,6.9,10,20,16,46,910,9.3,348.06,5.35,3,8.44,16,15,39.1,2.88,223.14,10,0,9,7,504,1.72,38,1.02,91.83,1635.3,1.74,0.52,5416,6.34,3.31,58.8,86,0.02,5.51,1.54,10,0,4,1,90.3,1.65,2,1.55,3,6,5,15,170,1.54,221.7,0.8,1,2.44,5,5,20.7,1,140.73,10,0,4,1,1.9
Th2GeSe2,763.6,1.814,56,1.382,138.92124,3029.15,4.234,1.368,8202.8,7.66,4.38336,1249.43,57.8,0.05816,25.8938288,1.698,9.2,14,4,0,130.04,1.942,5.2,2.82,2.8,5.2,4,10.4,396.6,16.504,287.02,1.43,1.4,3.2,4,4,15.58,0.24,33.788,0.8,0,2,2,3818,9.07,280,6.91,694.6062,15145.75,21.17,6.84,41014,38.3,21.9168,6247.15,289,0.2908,129.469144,8.49,46,70,20,0,650.2,9.71,26,14.1,14,26,20,52,1983,82.52,1435.1,7.15,7,16,20,20,77.9,1.2,168.94,4,0,10,10,354,1.32,58,0.77,159.4281,4105,3.74,0.49,12793,6.91,2.8816,1533,73,0.0196,4.604572,1.28,2,0,4,0,87,1.25,3,3.69,2,4,4,13,349,30.25,476.7,0.65,1,2,4,4,28.3,0.2,59.38,2,0,4,0,1.98
Rb2GeB4O9,1037.375,2.75625,12.375,0.896875,26.924375,1433.3,3.273125,0.955625,1694.57625,1.10875,6.546875,734.125,72.375,0.061875,16.3675,2.758125,10,14,3.375,0.125,80.1125,2.673125,2.5,1.074375,2.75,5.9375,4.5,13.25,317.625,15.25625,154.051875,0.921875,0.875,1.125,4.5,4.5,7.488125,0.8375,17.785625,0,0,2.625,1.875,16598,44.1,198,14.35,430.79,22932.8,52.37,15.29,27113.22,17.74,104.75,11746,1158,0.99,261.88,44.13,160,224,54,2,1281.8,42.77,40,17.19,44,95,72,212,5082,244.1,2464.83,14.75,14,18,72,72,119.81,13.4,284.57,0,0,42,30,911,2.9,32,2.17,74.66,4184.85,4.96,1.38,8245.42,5.32,5.18,2297.4,83,0.22,19.99,2.79,0,0,4,1,183.7,2.62,3,3.63,3,6,5,15,487,49.98,486.29,1.75,1,4,5,5,46.51,0.7,59.87,0,0,4,1,5.54
BaSi2,692.3333333,1.573333333,28,1.583333333,64.50333333,2389.816667,3.72,1.4,4529.333333,2.72,4.283333333,1454.816667,55,0.063333333,22.63,1.573333333,10,14,4.666666667,0,139.8666667,1.563333333,4,2.08,2,4.666666667,3.333333333,10,361.3333333,36.28333333,303.48,1.45,0.666666667,3.333333333,3.333333333,3.333333333,16.83333333,0.54,104.8,0,0,1.333333333,2,2077,4.72,84,4.75,193.51,7169.45,11.16,4.2,13588,8.16,12.85,4364.45,165,0.19,67.89,4.72,30,42,14,0,419.6,4.69,12,6.24,6,14,10,30,1084,108.85,910.44,4.35,2,10,10,10,50.5,1.62,314.4,0,0,4,6,284,1.04,42,1.42,109.24,715,2.73,0.87,1889,1.17,0.28,685,69,0.05,8.07,0.89,0,0,2,0,99.2,1.01,3,1.98,0,4,2,12,272,42.8,242.22,1.05,1,2,2,2,34.3,0.51,129.6,0,0,2,0,1.3
Bi14.7In11.3S38,853.7421875,2.292578125,37.215625,1.126390625,87.31464748,1262.753125,2.63784375,1.19521875,3029.609375,4.7591875,5.329411875,430.02,85.2453125,0.056945156,23.94272457,2.167140625,5.9375,10.784375,2.759375,0,102.2392187,2.310125,4.0421875,1.473764063,3.240625,6.1875,5.240625,15.240625,256.10625,4.1923125,70.76421875,1.234921875,1,2.4839375,5.240625,5.0640625,5.13421875,0.489734375,16.37545313,4.0625,3.215625,3.240625,2,54639.5,146.725,2381.8,72.089,5588.137439,80816.2,168.822,76.494,193895,304.588,341.08236,27521.28,5455.7,3.64449,1532.334373,138.697,380,690.2,176.6,0,6543.31,147.848,258.7,94.3209,207.4,396,335.4,975.4,16390.8,268.308,4528.91,79.035,64,158.972,335.4,324.1,328.59,31.343,1048.029,260,205.8,207.4,128,442,0.93,67,0.68,176.91037,1635.3,0.67,0.44,5416,7.68,1.62,158.2,13,0.0133,3.64,0.97,10,14,3,0,57.2,0.8,3,0.95,3,2,3,3,72,9.58,221.7,0.6,0,1.44,3,4,6.8,0.59,81.33,10,14,3,0,1.45
Ga1.002Sb0.998Te0.006,706.7318046,1.870648056,41.01296112,1.344685942,95.78340977,2446.552193,2.778295115,1.31997009,6335.530409,6.294047856,4.586729811,603.3068295,79.52043868,0.064985045,25.68473579,1.720757727,4.995014955,14,3.996011964,0,122.3224327,1.930269192,4.500498504,1.734735793,2.003988036,5.500498504,4.003988036,14.00398804,273.7936191,12.73,167.7559422,1.374925224,1,3.216789631,4.003988036,2.499501496,7.345962114,0.289890329,32.37622134,5.004985045,0,2.003988036,2,1417.704,3.75252,82.272,2.69744,192.14152,4907.7837,5.57326,2.64786,12709.074,12.62586,9.20098,1210.2335,159.518,0.13036,51.52358,3.45184,10.02,28.084,8.016,0,245.3788,3.87212,9.028,3.47988,4.02,11.034,8.032,28.092,549.23,25.53638,336.51842,2.7581,2.006,6.45288,8.032,5.014,14.736,0.58152,64.9467,10.04,0,4.02,4.012,290,0.4,21,0.13,57.88,1413.2,0.62,0.12,5291,0.79,1.27,601.2,16,0.03,0.28,0.52,10,0,3,0,14.3,0.29,1,0.1,3,1,3,3,89,14.28,206.15,0.15,0,1.44,3,1,2.6,0.17,38.25,10,0,3,0,0.7
Pb0.61Ge0.39Te,801.47,2.03352,57.25,1.32845,141.15495,1850.6,2.4649,1.36125,4449.5,7.6344,5.070622,782.5305,85.11,0.055425,25.50728,1.92975,1.95,9.73,3,0,113.8625,2.0123,5.11,1.77665,3,5.695,5,15,231.795,17.411995,144.999,1.49275,1,2.5242,5,3,6.0135,0.20205,23.622,8.05,4.27,3,2,1602.94,4.06704,114.5,2.6569,282.3099,3701.2,4.9298,2.7225,8899,15.2688,10.141244,1565.061,170.22,0.11085,51.01456,3.8595,3.9,19.46,6,0,227.725,4.0246,10.22,3.5533,6,11.39,10,30,463.59,34.82399,289.998,2.9855,2,5.0484,10,6,12.027,0.4041,47.244,16.1,8.54,6,4,153,0.306,50,0.31,134.59,1840.2,1.82,0.25,6071,6.08,0.8,619.9,11,0.02,3.696,0.32,10,14,2,0,12.5,0.23,2,0.53,2,1,2,2,181,32.141,278.35,0.55,0,2,2,2,1.3,0.19,57.55,10,14,2,0,0.56
K6CdTe4,623.4545455,1.321818182,33.63636364,1.919090909,77.94636364,1117.168182,1.409090909,1.694545455,2328.545455,3.524545455,3.856363636,500.2772727,40.72727273,0.036363636,27.62272727,1.346363636,5.454545455,14,4.545454545,0.545454545,169.0909091,1.364545455,4.454545455,2.821818182,2,3.090909091,2.818181818,7.454545455,130.9090909,8.193636364,71.72636364,1.85,0.363636364,1.676363636,3.818181818,1.454545455,26.32727273,0.502727273,65.50909091,4.545454545,0,1.454545455,1.454545455,6858,14.54,370,21.11,857.41,12288.85,15.5,18.64,25614,38.77,42.42,5503.05,448,0.4,303.85,14.81,60,154,50,6,1860,15.01,49,31.04,22,34,31,82,1440,90.13,788.99,20.35,4,18.44,42,16,289.6,5.53,720.6,50,0,16,16,450,1.43,33,1.2,88.5,229.8,1.26,0.61,737,7.79,2.65,386.25,87,0.06,3.8,1.24,10,0,4,1,105.1,1.28,1,2.02,4,5,5,15,107,15.16,47.02,0.8,1,3.44,11,1,37.9,0.55,100.05,10,0,4,1,2.51
InP2S4,940.2857143,2.36,20.42857143,1.005714286,43.57714286,904.4071429,2.968571429,1.091428571,1996.285714,2.747142857,5.364285714,372.5785714,84.71428571,0.06,23.59857143,2.274285714,8.571428571,14,2.714285714,0,92.28571429,2.354285714,3.285714286,1.275714286,3.285714286,6.714285714,5.285714286,15.28571429,284.1428571,1.637142857,42.13714286,1.078571429,1,2.491428571,5.285714286,5.142857143,4.071428571,0.658571429,11.88,1.428571429,0,3.285714286,2,6582,16.52,143,7.04,305.04,6330.85,20.78,7.64,13974,19.23,37.55,2608.05,593,0.42,165.19,15.92,60,98,19,0,646,16.48,23,8.93,23,47,37,107,1989,11.46,294.96,7.55,7,17.44,37,36,28.5,4.61,83.16,10,0,23,14,454,0.93,34,0.68,83.85,1800,0.91,0.42,5736,5.49,1.62,112.5,13,0,3.64,0.97,10,0,3,0,57.2,0.8,2,0.95,3,2,3,3,72,2.6,221.7,0.55,0,1.44,3,4,6.8,0.54,81.36,10,0,3,0,2.585
Bi12SiO20,1075.848485,2.976969697,35.45454545,0.844545455,86.54104364,800.8772727,2.520909091,1.006969697,1930.018182,3.616060606,6.955624242,282.0590909,86.36363636,0.019406061,18.64459796,2.916060606,6.363636364,8.909090909,2.424242424,0,77.6,2.876969697,3.484848485,1.054060606,3.575757576,6.242424242,5.575757576,15.57575758,239.8787879,5.774242424,51.81878788,0.978787879,1,1.212121212,5.575757576,5.575757576,3.333333333,0.622727273,7.364848485,3.636363636,5.090909091,3.575757576,2,35503,98.24,1170,27.87,2855.85444,26428.95,83.19,33.23,63690.6,119.33,229.5356,9307.95,2850,0.6404,615.2717328,96.23,210,294,80,0,2560.8,94.94,115,34.784,118,206,184,514,7916,190.55,1710.02,32.3,33,40,184,184,110,20.55,243.04,120,168,118,66,611,1.69,75,0.95,192.98037,2538,2.45,0.73,5004.42,9.75,4.18,1628.4,9,0.08,10.3576444,1.79,10,14,2,0,84.5,1.54,4,1.527,2,2,2,2,245,50.33,380.81,1,0,4,2,2,6.61,0.8,147.97,10,14,2,0,3.225
EuBi2Te4,775.5714286,1.964285714,62.42857143,1.441428571,154.3322486,1502.892857,2.14,1.452857143,3308,7.1,5.202528571,724.8642857,79.57142857,0.046842857,25.65556983,1.862857143,1.428571429,9,2.857142857,0,126.5714286,1.948571429,5.428571429,2.087714286,4.142857143,5.285714286,5.285714286,13.85714286,197.1428571,14.53857143,80.47142857,1.521428571,1.285714286,2.285714286,5.285714286,2.857142857,9.214285714,0.174285714,5.577142857,8.571428571,5,3.142857143,2,5429,13.75,437,10.09,1080.32574,10520.25,14.98,10.17,23156,49.7,36.4177,5074.05,557,0.3279,179.5889888,13.04,10,63,20,0,886,13.64,38,14.614,29,37,37,97,1380,101.77,563.3,10.65,9,16,37,20,64.5,1.22,39.04,60,35,22,14,322,1.07,31,1.08,81.38037,570.2,0.33,0.5,2291,4.51,0.6112,551,65,0.0155,2.2760556,1.02,10,14,4,0,71.5,0.9,1,2.27,4,3,3,13,29,8.28,90.95,0.45,2,1,3,3,22.2,0.08,11.55,10,14,4,0,0.44
K2RbSb,518.75,1.0375,31.5,2.21,71.3575,1312.15,1.365,1.8525,2902.25,2.485,3.4425,472.25,23.75,0.0275,28.8075,1.0975,7.5,14,5.25,0.75,195.1,1.1275,4.5,3.3125,1.5,2.25,2,4.5,132,6.68,77.275,2.05,0.25,1.5,2,1.25,35.175,0.5175,71.825,2.5,0,0.75,1.25,2075,4.15,126,8.84,285.43,5248.6,5.46,7.41,11609,9.94,13.77,1889,95,0.11,115.23,4.39,30,56,21,3,780.4,4.51,18,13.25,6,9,8,18,528,26.72,309.1,8.2,1,6,8,5,140.7,2.07,287.3,10,0,3,5,431,1.27,32,1.32,82.66,1264,1.9,0.73,2977,5.83,2.21,592.1,82,0.03,5.45,1.05,10,0,3,1,109.4,1.23,1,2.33,2,5,4,14,176,17.68,7.65,0.9,1,2,4,1,40.7,0.54,78.1,10,0,3,1,1.2
CaI2,868.6666667,1.916666667,42,1.413333333,97.96,890.4833333,1.353333333,1.466666667,1506,3.803333333,4.956666667,628.4833333,66.33333333,0.04,26.52333333,1.883333333,3.333333333,14,2.666666667,0,125.9333333,2.106666667,4.666666667,2.06,4,6,5.333333333,12,130.6666667,8.06,64.93333333,1.533333333,0.666666667,0.666666667,5.333333333,5.333333333,10.93333333,0.35,66.96666667,6.666666667,0,3.333333333,2,2606,5.75,126,4.24,293.88,2671.45,4.06,4.4,4518,11.41,14.87,1885.45,199,0.12,79.57,5.65,10,42,8,0,377.8,6.32,14,6.18,12,18,16,36,392,24.18,194.8,4.6,2,2,16,16,32.8,1.05,200.9,20,0,10,6,418,1.33,33,0.79,86.82,1300,0.73,0.41,2061,3.38,2.92,725.5,89,0,1.91,1.16,10,0,5,0,64.6,1.66,1,1.41,3,6,5,15,71,0.72,132.55,0.4,1,2,5,5,17.8,0.42,199.55,10,0,5,0,5.98
Na0.5Pb1.75GeSe4,831.3103448,2.122689655,43.72413793,1.243448276,105.1786207,1522.322414,2.454827586,1.269310345,3608.896552,6.195172414,5.137337931,609.3465517,79.68965517,0.058793103,25.59972414,2.014482759,7.586206897,10.62068966,3.034482759,0.068965517,106.8241379,2.199655172,4.413793103,1.614137931,3.034482759,5.965517241,4.896551724,14.20689655,232.0689655,10.12389655,116.0213793,1.365517241,0.931034483,2.313103448,4.896551724,4.896551724,6.206896552,0.336896552,26.7937931,2.413793103,3.379310345,2.965517241,1.931034483,6027,15.3895,317,9.015,762.545,11036.8375,17.7975,9.2025,26164.5,44.915,37.2457,4417.7625,577.75,0.42625,185.598,14.605,55,77,22,0.5,774.475,15.9475,32,11.7025,22,43.25,35.5,103,1682.5,73.39825,841.155,9.9,6.75,16.77,35.5,35.5,45,2.4425,194.255,17.5,24.5,21.5,14,445,1.56,71,0.87,184.21,2145,2.74,0.38,6643,10.43,3.22,849.6,87,0.03,5.04,1.36,10,14,4,1,79.5,1.62,3,1.36,3,6,5,15,268,34.34,293.2,0.65,1,3,5,5,19.8,1.1,140.48,10,14,4,1,1.6
PrTaN2O,1081.2,2.436,30.8,1.214,73.17558,1846.63,4.852,1.052,3911.392,4.674,6.66876,930.91,63.2,0.02834,19.1925412,2.436,9.4,10.6,4,0,96.94,2.43,3.6,1.764,3.2,5.6,4.4,10.8,466.6,7.886,209.758,1.04,1.6,2.82,4.8,4,8.858,0.666,14.018,0.6,3.4,2,2,5406,12.18,154,6.07,365.8779,9233.15,24.26,5.26,19556.96,23.37,33.3438,4654.55,316,0.1417,95.962706,12.18,47,53,20,0,484.7,12.15,18,8.82,16,28,22,54,2333,39.43,1048.79,5.2,8,14.1,24,20,44.29,3.33,70.09,3,17,10,10,875,2.52,66,1.99,166.9379,5620.8,5.48,0.92,10123.81,16.6,3.73,3214.4,70,0.0917,12.2,2.56,3,14,4,0,149.2,2.31,4,4.01,1,4,3,13,533,31.38,740.21,1.25,2,5,3,4,27.41,0.9,57.47,3,14,4,0,2
Cu0.99Ga1.01Se2.01,801.4339152,2.118054863,32.00997506,1.21680798,72.82825436,1855.496633,2.80244389,1.239501247,4138.294264,6.099077307,4.841072319,656.8003741,79.04987531,0.08478803,25.12698254,1.923591022,7.53117207,14,3.743142145,0.246882793,107.0027431,2.203142145,4,1.578428928,2.256857855,5.755610973,4.256857855,14.00997506,269.2643392,7.983117207,158.1947631,1.237157107,1.246882793,3.211970075,6.478802993,4.009975062,5.599002494,0.347406484,109.4865835,2.46882793,0,2.256857855,1.753117207,3213.75,8.4934,128.36,4.8794,292.0413,7440.5415,11.2378,4.9704,16594.56,24.4573,19.4127,2633.7695,316.99,0.34,100.7592,7.7136,30.2,56.14,15.01,0.99,429.081,8.8346,16.04,6.3295,9.05,23.08,17.07,56.18,1079.75,32.0123,634.361,4.961,5,12.88,25.98,16.08,22.452,1.3931,439.0412,9.9,0,9.05,7.03,362,0.67,5,0.42,15.41,1882,1.03,0.22,5863,4.17,2.1,1053.2,25,0.08,1.65,0.8,10,0,4,1,33.6,0.74,0,0.75,4,3,4,5,111,7.46,262.6,0.2,1,3.44,8,5,4.3,0.06,400.48,10,0,4,1,1.59
Tl2InGaTe4,723.875,1.95475,56.25,1.37,137.963325,1692.675,2.23125,1.3825,3540.5,7.74625,4.93545,596.95,82.625,0.05705,25.92870725,1.8225,1.25,10.5,3.5,0,121.475,1.90375,5.125,1.8625,2.5,5.5,4.5,14.5,210.125,10.88675,128.575,1.53125,1,2.72,4.5,2.375,6.875,0.2075,27.975,8.75,3.5,2.5,2,5791,15.638,450,10.96,1103.7066,13541.4,17.85,11.06,28324,61.97,39.4836,4775.6,661,0.4564,207.429658,14.58,10,84,28,0,971.8,15.23,41,14.9,20,44,36,116,1681,87.094,1028.6,12.25,8,21.76,36,19,55,1.66,223.8,70,28,20,16,311,0.5,50,0.33,134.6633,1413.2,0.93,0.22,5291,6,1.27,419.7,16,0.03,1.049829,0.56,10,14,3,0,27.1,0.48,2,0.565,3,1,3,3,104,14.23,206.15,0.6,0,1.44,3,1,4.2,0.24,79.25,10,14,3,0,0.88
PtSb2,845.3333333,1.893333333,60,1.476666667,146.2,2848.816667,3.78,1.346666667,6196.666667,11.59333333,5.906933333,1284.483333,77.66666667,0.07,25.50013333,1.75,0.333333333,9.333333333,4,0.333333333,120.2333333,2.126666667,5.333333333,2.08,5,5.333333333,4.333333333,13.33333333,363,19.78,221.4266667,1.416666667,1.333333333,3.926666667,6.666666667,1.666666667,6.566666667,0.183333333,40.06666667,9.666666667,4.666666667,2,1.666666667,2536,5.68,180,4.43,438.6,8546.45,11.34,4.04,18590,34.78,17.7208,3853.45,233,0.21,76.5004,5.25,1,28,12,1,360.7,6.38,16,6.24,15,16,13,40,1089,59.34,664.28,4.25,4,11.78,20,5,19.7,0.55,120.2,29,14,6,5,34,0.26,27,0.44,73.32,1877,3.09,0.1,3380,14.71,2.7208,1141,22,0.06,0.2096,0.39,1,14,3,1,2.8,0.23,1,0.93,6,2,2,5,303,0.27,432.86,0.1,1,2.78,5,1,0.1,0.08,47.3,1,14,3,1,0.117444444
