avg_Density_(g/mL),avg_Gordy_electonegativity,avg_Number_of_unfilled_d_valence_electrons,avg_abs_valence,avg_metallic_valence,avg_valence_d,sum_Density_(g/mL),sum_heat_atomization(kJ/mol),sum_valence_d,range_Density_(g/mL),range_Nagle_electonegativity,range_heat_of_fusion_(kJ/mol)_,target
4.615,4.42625,10.0,2.0,3.055,0.0,9.23,618.0,0.0,3.2,0.56,22.11,2.42
4.997272727,5.068636364,9.545454545,2.772727273,2.483636364,0.454545455,109.94,5212.0,10.0,5.46,1.33,7.46,1.45
4.275,6.1257,10.0,1.5,3.0,0.0,8.55,764.0,0.0,8.55,2.03,10.7,2.35
4.236666667,4.923333333,8.333333333,3.0,2.0,1.666666667,25.42,1213.0,10.0,5.83,1.47,17.54,2.04
3.606666667,4.382222222,7.555555556,2.222222222,2.764444444,2.444444444,32.46,2442.0,22.0,8.1,1.65,13.73,2.04
6.47,5.119225,5.875,2.375,3.665,4.125,51.76,2912.0,33.0,14.53,1.23,29.88,3.0
7.644,5.19552,0.0,3.6,2.4,10.0,38.22,1005.0,50.0,3.51,0.25,6.19,0.25
6.3226,4.6916,6.4,2.0,3.22,3.6,12.6452,557.04,7.2,1.58,0.59,24.44,0.55
7.9894,5.231384,4.6,3.0,2.2824,5.4,15.9788,429.08,10.8,6.61,0.61,12.691,0.22
2.95,4.235,5.0,3.0,0.5,5.0,5.9,216.0,10.0,3.96,1.32,5.22,6.074
1.82,7.094545455,9.636363636,3.727272727,0.909090909,0.363636364,20.02,3002.0,4.0,8.57,2.83,26.18,4.2
4.56,6.91816,6.0,3.2,0.976,4.0,22.8,1139.0,20.0,11.4,1.86,4.579,1.67
4.285714286,5.151428571,8.571428571,2.714285714,2.982857143,1.428571429,30.0,2063.0,10.0,8.43,1.04,35.22,3.0
5.674,5.33,8.666666667,3.733333333,2.456,1.333333333,85.11,3860.0,20.0,2.52,1.28,16.61,1.57
4.295,5.28,10.0,3.0,2.0,0.0,17.18,835.0,0.0,3.86,1.52,25.61,1.93
3.227,4.325,10.0,2.0,4.0,0.0,3.227,429.5,0.0,2.99,0.06,13.61,1.0
4.4375,4.635,7.5,2.5,2.11,2.5,17.75,787.0,10.0,6.45,1.47,4.36,2.68
5.37,5.632,6.0,4.0,2.0,4.0,5.37,215.0,4.0,1.45,0.23,10.8,1.2
8.7925,5.087348,0.05,2.995,2.225,9.95,17.585,393.9,19.9,5.5,0.52,12.691,0.42
4.872222222,5.181111111,10.0,3.222222222,2.282222222,0.0,43.85,2109.0,0.0,3.5,1.33,2.16,2.18
2.866,6.686,6.84,3.24,1.5504,3.16,71.65,6316.0,79.0,8.65,2.35,20.68,2.66
1.857777778,6.98962963,8.444444444,3.703703704,1.111111111,1.555555556,50.16,7489.0,42.0,6.24,2.64,20.68,2.64
5.352222222,4.575555556,6.666666667,2.0,2.591111111,3.333333333,48.17,1416.0,30.0,7.12,1.48,4.5,2.37
3.41,4.965714286,7.142857143,2.857142857,2.348571429,2.857142857,23.87,1770.0,20.0,6.34,1.54,5.31,2.4
6.271428571,5.385385714,7.142857143,4.142857143,2.285714286,2.857142857,43.9,1500.0,20.0,4.96,1.25,4.61,1.02
5.427,5.18304,9.0,3.0,2.532,1.0,54.27,2582.0,10.0,9.07,0.75,45.751,2.17
0.721538462,5.82,10.0,2.461538462,0.923076923,0.0,9.38,3448.0,0.0,2.54,2.68,49.98,6.67
4.23,4.63875,7.125,2.5,3.11,2.875,33.84,2392.0,23.0,7.43,1.66,19.18,1.45
5.95855,4.75415,5.05,2.0,3.22,4.95,11.9171,360.3,9.9,2.34,0.85,22.11,2.59
6.392727273,5.123636364,3.272727273,2.909090909,2.436363636,6.727272727,70.32,3055.0,74.0,0.42,1.03,12.03,0.5
9.753333333,6.348166667,7.666666667,5.0,3.26,2.333333333,29.26,1171.0,7.0,20.33,1.06,24.38,1.2
3.277894737,6.794210526,7.421052632,3.473684211,1.332631579,2.578947368,62.28,5325.0,49.0,11.4,2.35,20.68,2.5
5.98625,4.9275,6.25,2.5,3.11,3.75,47.89,2066.0,30.0,5.46,1.33,6.36,0.48
2.254375,4.47125,10.0,1.0,2.875,0.0,36.07,8704.0,0.0,1.37,1.07,47.6,0.32
2.666,4.922,9.8,2.8,2.0,0.2,13.33,1369.0,1.0,5.18,1.54,4.48,2.61
2.3898,4.199,10.0,2.0,4.0,0.0,2.3898,450.5,0.0,2.99,0.06,13.61,1.08
7.035,5.32992,4.2,3.6,2.4,5.8,35.175,1068.0,29.0,4.96,0.48,10.8,0.28
3.099285714,5.237857143,9.285714286,2.857142857,2.46,0.714285714,43.39,3652.0,10.0,5.26,1.7,35.22,3.332
5.456923077,6.947538462,6.769230769,2.923076923,2.135384615,3.230769231,70.94,2219.0,42.0,13.5,1.62,23.4,3.26
0.935,7.26,10.0,3.0,0.5,0.0,1.87,158.0,0.0,1.87,3.44,1.83,10.0
3.105,4.6175,7.5,2.5,2.11,2.5,12.42,910.0,10.0,6.34,1.54,1.54,1.9
7.66,4.38336,9.2,2.8,3.2,0.8,38.3,1983.0,4.0,6.91,1.28,30.25,1.98
1.10875,6.546875,10.0,2.75,1.125,0.0,17.74,5082.0,0.0,5.32,2.79,49.98,5.54
2.72,4.283333333,10.0,2.0,3.333333333,0.0,8.16,1084.0,0.0,1.17,0.89,42.8,1.3
4.7591875,5.329411875,5.9375,3.240625,2.4839375,4.0625,304.588,16390.8,260.0,7.68,0.97,9.58,1.45
6.294047856,4.586729811,4.995014955,2.003988036,3.216789631,5.004985045,12.62586,549.23,10.04,0.79,0.52,14.28,0.7
7.6344,5.070622,1.95,3.0,2.5242,8.05,15.2688,463.59,16.1,6.08,0.32,32.141,0.56
3.524545455,3.856363636,5.454545455,2.0,1.676363636,4.545454545,38.77,1440.0,50.0,7.79,1.24,15.16,2.51
2.747142857,5.364285714,8.571428571,3.285714286,2.491428571,1.428571429,19.23,1989.0,10.0,5.49,0.97,2.6,2.585
3.616060606,6.955624242,6.363636364,3.575757576,1.212121212,3.636363636,119.33,7916.0,120.0,9.75,1.79,50.33,3.225
7.1,5.202528571,1.428571429,4.142857143,2.285714286,8.571428571,49.7,1380.0,60.0,4.51,1.02,8.28,0.44
2.485,3.4425,7.5,1.5,1.5,2.5,9.94,528.0,10.0,5.83,1.05,17.68,1.2
3.803333333,4.956666667,3.333333333,4.0,0.666666667,6.666666667,11.41,392.0,20.0,3.38,1.16,0.72,5.98
6.195172414,5.137337931,7.586206897,3.034482759,2.313103448,2.413793103,44.915,1682.5,17.5,10.43,1.36,34.34,1.6
4.674,6.66876,9.4,3.2,2.82,0.6,23.37,2333.0,3.0,16.6,2.56,31.38,2.0
6.099077307,4.841072319,7.53117207,2.256857855,3.211970075,2.46882793,24.4573,1079.75,9.9,4.17,0.8,7.46,1.59
7.74625,4.93545,1.25,2.5,2.72,8.75,61.97,1681.0,70.0,6.0,0.56,14.23,0.88
11.59333333,5.906933333,0.333333333,5.0,3.926666667,9.666666667,34.78,1089.0,29.0,14.71,0.39,0.27,0.117444444
2.056551724,6.925227586,8.620689655,2.689655172,0.957241379,1.379310345,29.82,4414.5,20.0,11.4,1.86,49.98,4.42
4.67,4.9,5.714285714,2.285714286,2.982857143,4.285714286,32.69,1854.0,30.0,7.09,1.7,18.15,1.63
4.231538462,7.561307692,8.538461538,3.692307692,1.366153846,1.461538462,55.01,4565.0,19.0,19.3,2.57,35.18,2.34
6.203333333,4.836666667,6.666666667,2.333333333,3.593333333,3.333333333,18.61,920.0,10.0,10.18,0.7,16.94,0.15
1.032083333,5.985,8.958333333,2.916666667,0.7825,1.041666667,12.385,2556.0,12.5,7.43,2.68,17.27,1.97
6.003170732,4.872439024,7.804878049,2.317073171,3.141463415,2.195121951,24.613,1095.5,9.0,4.17,0.8,7.46,1.593
7.372,5.53076,4.0,3.2,2.4,6.0,36.86,1225.0,30.0,2.83,0.97,2.41,0.9
4.483333333,5.145,6.666666667,2.833333333,2.74,3.333333333,26.9,1563.0,20.0,8.43,1.51,18.15,2.2
5.90875,5.09875,5.833333333,2.708333333,2.683333333,4.166666667,28.362,1140.6,20.0,4.17,0.8,9.79,1.26
7.98,4.075,0.0,0.5,3.94,10.0,15.96,355.0,20.0,1.34,0.07,2.93,0.6
5.015,5.38005,10.0,5.5,2.0,0.0,10.03,405.0,0.0,0.45,1.25,2.52,3.1
4.225,5.29042,6.9,2.8,2.532,3.1,42.25,2801.0,31.0,5.83,1.39,8.33,1.13
4.646060606,5.107878788,10.0,3.03030303,2.464242424,0.0,153.32,8307.0,0.0,5.04,1.47,34.61,2.23
5.258333333,5.033333333,8.166666667,2.333333333,2.44,1.833333333,31.55,1291.0,11.0,6.78,1.52,4.6,2.4
7.445,4.68,0.0,2.0,3.22,10.0,14.89,309.0,20.0,2.41,0.63,11.3,1.5494375
5.595909091,4.947272727,8.181818182,2.454545455,2.725454545,1.818181818,123.11,4688.0,40.0,7.12,1.48,4.5,2.19
3.363714286,5.079714286,7.714285714,2.457142857,2.221714286,2.285714286,117.73,7189.0,80.0,6.78,1.7,5.31,3.16
1.41,6.8,9.9,3.4,0.8,0.1,14.1,2412.0,1.0,4.79,2.79,13.88,4.9
4.69,5.04,5.0,2.5,2.72,5.0,9.38,522.0,10.0,5.24,0.97,1.54,2.0125
7.868636364,6.597963636,5.454545455,2.363636364,2.609090909,4.545454545,86.555,1634.0,50.0,10.38,1.04,25.405,1.71
4.866666667,5.723333333,6.666666667,4.0,1.666666667,3.333333333,14.6,601.0,10.0,3.57,0.68,14.58,1.855
10.45333333,6.027833333,4.666666667,4.333333333,3.593333333,5.333333333,31.36,1332.0,16.0,20.53,1.1,30.08,1.2
1.745714286,6.892857143,9.142857143,3.714285714,1.428571429,0.857142857,12.22,2273.0,6.0,6.11,2.35,20.68,2.391666667
7.69,4.648285714,1.428571429,3.0,3.617142857,8.571428571,53.83,1994.0,60.0,2.72,1.0,6.69,0.46
6.092352941,5.655576471,7.294117647,3.176470588,2.691764706,2.705882353,103.57,5361.0,46.0,14.53,1.23,29.88,1.26
5.71,5.18625,5.0,3.0,3.0,5.0,11.42,542.0,10.0,5.24,0.79,5.31,0.965
2.263333333,6.966666667,6.666666667,3.666666667,0.74,3.333333333,13.58,1087.0,20.0,8.65,2.17,7.6,4.3
1.621666667,6.685,9.166666667,3.833333333,1.296666667,0.833333333,9.73,1557.0,5.0,7.19,2.56,16.68,2.45
6.4525,5.135,7.5,2.75,3.11,2.5,25.81,1040.0,10.0,5.71,0.86,21.01,1.4
6.268866995,4.598275862,5.123152709,2.019704433,3.204137931,4.876847291,12.7258,555.05,9.9,1.9,0.75,14.28,0.62
4.109090909,4.700909091,7.272727273,2.272727273,2.847272727,2.727272727,45.2,2878.0,30.0,7.99,1.54,11.33,0.45
0.803076923,6.417692308,10.0,2.615384615,1.076923077,0.0,10.44,4357.0,0.0,2.34,2.68,49.98,7.3
5.346666667,5.453933333,6.666666667,3.0,2.48,3.333333333,16.04,740.0,10.0,9.83,0.9,2.422,1.8
3.728,7.35364,10.0,3.6,1.2,0.0,18.64,1211.0,0.0,9.32,2.5,16.62,4.53
0.84,6.541111111,10.0,2.666666667,1.111111111,0.0,7.56,3125.0,0.0,2.34,2.68,49.98,7.843333333
3.823333333,5.249866667,7.777777778,3.111111111,2.271111111,2.222222222,34.41,2205.0,20.0,7.68,1.51,9.58,1.55
6.148571429,5.671185714,10.0,4.142857143,2.285714286,0.0,43.04,1550.0,0.0,4.53,1.25,10.15,1.8
5.19,4.4125,2.5,2.5,2.11,7.5,20.76,746.0,30.0,6.34,1.13,14.89,1.6
5.835555556,6.333411111,6.666666667,2.0,2.591111111,3.333333333,52.52,1457.0,30.0,11.63,1.7,0.575,2.8
4.516666667,5.803333333,6.666666667,4.0,1.333333333,3.333333333,13.55,526.0,10.0,4.19,0.86,1.74,3.45
6.41,4.5945,4.5,2.0,3.22,5.5,12.82,524.1,11.0,2.75,0.63,14.28,0.78
6.180454545,4.723636364,3.636363636,3.363636364,2.969090909,6.363636364,135.97,4997.0,140.0,5.56,1.29,15.4,1.55
2.284117647,7.350376471,8.235294118,3.764705882,0.941176471,1.764705882,38.83,4287.0,30.0,9.75,1.79,11.08,3.59
2.876,6.33,8.0,4.4,2.312,2.0,14.38,1541.0,10.0,7.19,2.33,16.68,3.4
3.595,5.236428571,7.857142857,3.0,2.46,2.142857143,50.33,3488.0,30.0,6.58,1.51,6.03,2.75
6.432727273,5.149090909,3.636363636,3.636363636,2.4,6.363636364,70.76,2803.0,70.0,0.53,1.02,10.6,0.46
2.935,5.3325,7.5,2.5,2.11,2.5,11.74,823.0,10.0,7.13,2.56,8.08,3.1
0.485,4.69,10.0,3.0,0.5,0.0,0.97,230.0,0.0,0.97,1.87,0.63,8.5
7.0625,5.20545,7.5,3.0,2.635,2.5,28.25,992.0,10.0,7.11,1.25,2.748,1.18
6.14875,5.341625,8.75,4.8125,2.555,1.25,196.76,8114.0,40.0,6.78,1.52,8.71,1.95
4.248571429,5.817142857,8.857142857,3.428571429,2.254285714,1.142857143,29.74,2216.0,8.0,7.86,2.58,13.58,0.7
3.847692308,6.829323077,7.692307692,3.692307692,0.870769231,2.307692308,50.02,2760.0,30.0,11.4,1.86,6.47,3.73
5.4248,5.269188857,7.857142857,3.295,2.276428571,2.142857143,75.9472,3059.65,30.0,6.25,1.33,4.61,0.79
2.768235294,7.150941176,9.117647059,4.764705882,1.372941176,0.882352941,47.06,5740.0,15.0,10.2,2.54,31.78,1.505
7.785,7.04845,5.0,2.0,3.22,5.0,15.57,340.0,10.0,11.43,0.95,0.575,2.1
3.514705882,5.360588235,7.058823529,3.176470588,2.352941176,2.941176471,59.75,4378.0,50.0,5.44,1.7,18.15,2.34
1.61,6.0325,10.0,2.5,1.11,0.0,6.44,945.0,0.0,5.9,2.68,5.37,5.6
4.076666667,4.951666667,10.0,3.0,2.0,0.0,24.46,1253.0,0.0,4.87,1.47,25.37,2.26
8.7,3.89,7.5,3.0,4.61,2.5,17.4,963.0,5.0,5.6,0.26,18.41,1.42
3.388666667,7.042506667,8.933333333,3.2,1.362666667,1.066666667,50.83,4476.0,16.0,16.6,2.64,31.38,4.32
5.798,5.148,6.0,2.8,2.576,4.0,28.99,1167.0,20.0,2.52,0.79,3.43,1.2
2.054,6.844,10.0,3.4,1.02,0.0,10.27,1283.0,0.0,6.77,2.64,7.53,2.0
6.953333333,4.633333333,0.0,2.0,2.96,10.0,20.86,683.0,30.0,1.07,0.56,14.23,0.46
5.346666667,4.55,7.333333333,4.666666667,3.926666667,2.666666667,16.04,1186.0,8.0,10.58,0.83,20.84,1.0
7.921538462,5.229169231,3.076923077,3.230769231,2.289230769,6.923076923,20.596,539.4,18.0,6.61,0.55,12.691,0.22
1.495,4.975,9.5,2.0,3.0,0.5,2.99,851.0,1.0,2.99,1.95,13.74,2.6
5.83,5.5712,9.5,2.0,3.0,0.5,11.66,742.0,1.0,8.02,1.1,17.94,1.3
3.962857143,5.197142857,7.142857143,2.857142857,2.634285714,2.857142857,27.74,1710.0,20.0,6.58,1.51,6.03,2.3
7.875,5.24994,5.25,3.0,2.259,4.75,15.75,434.65,9.5,9.33,0.73,35.22,0.29
2.68,5.716,8.4,3.6,3.956,1.6,13.4,2810.0,8.0,8.9,1.65,104.64,2.0
7.413333333,5.084866667,5.0,2.833333333,2.813333333,5.0,44.48,1422.0,30.0,6.61,0.8,8.251,0.07
2.206666667,6.945,8.222222222,3.833333333,1.111111111,1.777777778,39.72,5646.0,32.0,8.57,2.79,26.18,3.49
3.31,6.3428,9.833333333,3.166666667,1.13,0.166666667,19.86,1448.0,1.0,19.0,2.78,13.78,2.37
6.624444444,5.593733333,0.0,4.0,0.986666667,10.0,59.62,1203.0,90.0,6.97,0.68,13.348,1.485
2.71,4.8525,10.0,3.0,2.0,0.0,10.84,969.0,0.0,4.76,1.54,25.98,2.28
6.193333333,3.883333333,3.666666667,4.0,3.926666667,6.333333333,18.58,1070.0,19.0,5.91,0.71,5.77,0.11
3.582857143,5.307857143,8.714285714,3.642857143,2.745714286,1.285714286,50.16,4841.0,18.0,8.68,1.28,25.74,1.78
6.987692308,4.793846154,0.0,2.461538462,2.972307692,10.0,90.84,3027.0,130.0,2.72,0.57,14.23,1.1
4.0225,4.5775,7.5,2.0,3.61,2.5,16.09,1138.0,10.0,5.31,0.76,36.28,2.16
5.623333333,4.996666667,8.888888889,2.555555556,2.862222222,1.111111111,25.305,1165.5,5.0,4.17,0.8,7.46,1.76
4.542727273,4.803636364,9.090909091,2.727272727,2.403636364,0.909090909,49.97,2446.0,10.0,7.68,1.36,34.34,2.37
2.861818182,4.832727273,10.0,2.727272727,2.261818182,0.0,31.48,2841.0,0.0,4.93,1.54,35.22,3.29
1.52,6.530526316,8.421052632,3.789473684,0.736842105,1.578947368,28.88,3723.0,30.0,6.24,2.56,17.27,4.0
4.55,6.64476,9.2,2.8,2.8,0.8,22.75,2400.0,4.0,16.6,2.58,31.38,2.0
4.268461538,6.932892308,8.384615385,4.076923077,2.103076923,1.615384615,55.49,4399.0,21.0,16.6,2.36,31.38,1.89
2.467142857,4.871428571,10.0,2.857142857,2.285714286,0.0,17.27,1928.0,0.0,4.35,1.54,35.22,3.6
6.54775,4.6994,4.85,2.0,3.22,5.15,13.0955,537.92,10.3,2.92,0.66,24.44,0.71
6.421481481,4.870740741,5.061728395,2.283950617,3.180246914,4.938271605,26.007,1041.6,20.0,4.17,0.8,9.79,1.07
2.902142857,5.214285714,9.428571429,3.714285714,2.428571429,0.571428571,40.63,4666.0,8.0,7.6,1.54,25.74,1.72
2.280833333,5.112125,10.0,3.5,2.066666667,0.0,27.37,2970.0,0.0,6.66,1.65,7.97,2.59
9.87,6.84345,0.0,2.0,3.22,10.0,19.74,258.0,20.0,7.26,0.54,15.195,0.171666667
4.933793103,7.449193103,8.24137931,3.344827586,1.769655172,1.75862069,143.08,11219.0,51.0,16.6,2.36,31.38,2.47
5.135,5.196,9.0,3.0,2.488,1.0,51.35,2416.0,10.0,3.81,1.33,2.16,1.775
4.591111111,5.411322222,8.888888889,4.0,2.56,1.111111111,41.32,2299.0,10.0,6.89,1.44,11.33,1.28
6.908214286,4.885714286,0.0,2.607142857,2.76,10.0,48.3575,1461.75,70.0,4.26,0.63,14.23,0.39
1.96,7.371881481,7.444444444,4.185185185,0.288148148,2.555555556,52.92,5907.0,69.0,21.4,2.67,19.38,2.4
5.424,4.649,10.0,2.0,3.22,0.0,10.848,590.6,0.0,4.08,0.66,27.04,1.62
5.342371134,5.088556701,9.690721649,2.731958763,2.655670103,0.309278351,25.9105,1226.75,1.5,4.17,0.8,7.46,1.92
1.781,6.729,7.9,3.4,0.8,2.1,17.81,2401.0,21.0,6.24,2.78,17.27,3.8
4.891428571,5.175714286,8.571428571,2.857142857,2.348571429,1.428571429,34.24,1575.0,10.0,5.44,1.52,4.94,1.97
2.997575758,5.162424242,10.0,3.03030303,2.464242424,0.0,98.92,9347.0,0.0,5.04,1.65,35.22,3.25
1.995833333,7.233166667,8.333333333,4.0,1.0,1.666666667,23.95,3478.0,20.0,8.23,2.54,49.98,3.53
0.935652174,6.925652174,10.0,3.304347826,0.869565217,0.0,21.52,5444.0,0.0,3.5,2.83,7.53,6.31
6.385,5.462253125,8.75,2.84375,2.555,1.25,204.32,7466.0,40.0,7.2,1.52,17.81,2.09
2.146153846,7.072307692,6.923076923,3.538461538,0.803076923,3.076923077,27.9,2905.0,40.0,7.31,2.83,17.27,3.9
5.75,4.736,5.5,2.0,3.22,4.5,11.5,382.3,9.0,5.31,0.85,6.66,2.3
5.466759259,5.229895556,6.351851852,3.333333333,2.249925926,3.648148148,147.6025,6067.0,98.5,10.54,1.47,17.54,0.6
7.2768,5.216064,0.0,3.6,2.4,10.0,36.384,1038.0,50.0,3.51,0.25,8.57,0.167
5.988,4.673,6.0,2.0,3.22,4.0,11.976,556.2,8.0,5.49,0.7,27.04,0.85
4.604817888,4.819396035,8.898109728,2.769940065,2.291046565,1.101890272,199.757,9764.44,47.8,6.34,1.36,4.43,1.5
4.9275,4.775,2.5,3.0,2.0,7.5,19.71,817.0,30.0,6.15,1.14,16.87,0.129
6.006666667,5.082377778,3.333333333,2.777777778,2.271111111,6.666666667,54.06,1879.0,60.0,5.05,1.1,14.23,1.35
8.8375,5.087449,0.0,2.965,2.255,10.0,17.675,392.02,20.0,5.66,0.49,13.348,0.54
0.741538462,4.455384615,10.0,1.692307692,1.846153846,0.0,9.64,3557.0,0.0,5.32,2.18,36.58,2.61
2.5875,6.04625,7.5,2.25,1.665,2.5,20.7,1705.0,20.0,7.13,2.68,7.1,4.0
7.897,5.21492,4.25,3.0,2.337,5.75,15.794,434.4,11.5,6.61,0.61,12.691,0.18
5.991923077,5.286025641,5.641025641,3.192307692,2.677435897,4.358974359,116.8425,4743.5,85.0,5.71,0.86,16.61,0.94
3.289285714,5.518571429,8.571428571,3.857142857,0.642857143,1.428571429,46.05,1790.0,20.0,5.16,1.73,17.68,2.48
3.326666667,5.253875,10.0,4.083333333,2.283333333,0.0,39.92,3187.0,0.0,6.98,1.55,48.83,2.83
5.228723404,7.668792962,9.079378069,3.616202946,1.611292962,0.920621931,255.58,20036.4,45.0,16.6,2.64,31.38,0.13
7.866,4.352,0.0,1.2,3.864,10.0,39.33,860.0,50.0,1.96,0.43,13.68,0.3
4.208333333,4.953333333,5.833333333,2.5,2.516666667,4.166666667,50.5,2975.0,50.0,5.78,1.66,1.54,2.5
7.67,5.116533333,5.0,2.833333333,2.813333333,5.0,46.02,1368.0,30.0,6.61,0.86,6.501,0.13
1.27,5.865,10.0,3.0,1.0,0.0,2.54,413.0,0.0,2.54,2.56,8.08,5.735
5.23125,4.9225,5.0,2.375,3.415,5.0,41.85,2392.0,40.0,6.89,0.98,18.15,0.85
2.942,4.636,9.0,3.4,3.556,1.0,14.71,1541.0,5.0,5.61,0.86,11.39,0.28
5.852244898,5.123877551,5.918367347,2.755102041,2.628571429,4.081632653,28.676,1153.8,20.0,4.17,0.8,9.79,1.45
2.32,4.956190476,9.714285714,3.142857143,2.095238095,0.285714286,48.72,5660.0,6.0,3.01,1.66,13.73,1.59
6.012105263,6.908331579,5.789473684,2.631578947,2.448421053,4.210526316,114.23,2949.0,80.0,13.5,1.3,1.54,2.54
1.706190476,6.784761905,9.571428571,3.428571429,1.19047619,0.428571429,35.83,5509.0,9.0,6.11,3.25,20.68,3.85
6.5755,4.6988,4.7,2.0,3.22,5.3,13.151,530.84,10.6,2.92,0.66,24.44,0.68
4.112272727,4.996363636,8.181818182,2.454545455,2.725454545,1.818181818,90.47,5312.0,40.0,7.12,1.66,4.47,3.02
4.248888889,5.124444444,5.555555556,2.333333333,2.64,4.444444444,38.24,1441.0,40.0,8.65,1.37,5.53,2.205
6.315,4.615,5.0,2.0,4.0,5.0,12.63,679.0,10.0,1.99,0.11,29.91,0.6
5.934444444,5.0538,3.222222222,2.888888889,2.271111111,6.777777778,53.41,1986.0,61.0,4.4,1.1,14.23,1.36
6.42,4.76,4.5,2.0,3.0,5.5,12.84,685.0,11.0,0.54,0.84,13.67,0.8
6.932857143,6.7501,5.714285714,2.142857143,3.188571429,4.285714286,48.53,1335.0,30.0,11.68,0.95,1.635,1.98
5.882,5.4142,10.0,4.8,2.32,0.0,29.41,1095.0,0.0,2.73,1.26,1.94,2.3
7.99275,5.24644,5.0,3.0,2.259,5.0,15.9855,428.3,10.0,6.61,0.61,2.231,0.12
8.31,7.32845,5.0,2.5,2.22,5.0,33.24,346.0,20.0,10.38,1.02,2.995,2.6
3.985,5.01,10.0,2.5,2.72,0.0,7.97,565.0,0.0,3.83,0.93,3.87,2.586515385
4.842857143,4.998571429,8.571428571,2.857142857,2.348571429,1.428571429,33.9,1582.0,10.0,5.78,1.48,4.84,1.88
5.138,4.64,6.0,2.0,3.376,4.0,51.38,2856.0,40.0,7.43,1.66,25.98,2.15
0.831,6.3255,10.0,2.7,1.05,0.0,16.62,6319.0,0.0,2.34,2.78,49.98,6.89
3.402777778,7.561744444,9.5,3.666666667,1.111111111,0.5,61.25,5867.0,9.0,16.6,2.83,31.38,3.88
9.350869565,4.851130435,0.0,3.0,3.0,10.0,10.7535,246.3,11.5,3.06,0.05,8.57,0.022
2.84174,5.147314686,9.572285714,3.456285714,2.171428571,0.427714286,99.4609,10476.68,14.97,15.74,1.65,29.88,2.01
7.123333333,4.695866667,3.333333333,2.333333333,2.333333333,6.666666667,21.37,493.0,20.0,7.88,1.04,9.21,0.55
4.104,4.524,6.0,2.0,3.176,4.0,8.208,574.6,8.0,5.49,0.7,10.13,1.7
3.702,5.318,9.6,2.8,2.4,0.4,18.51,1683.0,2.0,4.08,1.45,4.48,2.77
6.333333333,6.6856,9.666666667,3.0,1.926666667,0.333333333,19.0,988.0,1.0,19.0,2.56,13.78,2.18
4.9475,5.09,5.0,2.75,3.11,5.0,19.79,1158.0,20.0,6.89,0.98,18.15,1.39
3.340952381,6.980247619,7.619047619,3.619047619,1.227619048,2.380952381,70.16,5102.0,50.0,12.0,2.01,17.38,2.06
8.7175,5.093296,0.2,3.0,2.2356,9.8,17.435,398.26,19.6,9.33,0.73,35.22,0.34
4.608181818,5.060909091,6.363636364,2.454545455,3.069090909,3.636363636,50.69,2609.0,40.0,8.68,1.04,10.64,2.56
5.496666667,5.669466667,9.333333333,3.333333333,2.0,0.666666667,16.49,1052.0,2.0,11.7,2.59,15.88,1.65
5.936666667,4.9357,3.166666667,2.333333333,2.406666667,6.833333333,35.62,1199.0,41.0,6.03,1.29,15.4,2.13
6.475,4.67,5.0,2.0,3.61,5.0,25.9,1037.0,20.0,1.58,0.65,20.67,0.703333333
3.936,7.49496,9.6,2.8,1.2,0.4,19.68,1601.0,2.0,9.84,2.5,18.38,5.5
8.83,6.0145,8.0,4.333333333,3.593333333,2.0,26.49,1385.0,6.0,20.78,1.1,31.14,1.4
6.402272727,4.829090909,2.727272727,2.454545455,2.725454545,7.272727273,140.85,4321.0,160.0,6.78,1.29,15.4,1.67
5.575,4.62125,10.0,2.0,3.187,0.0,11.15,594.0,0.0,3.2,0.56,22.11,1.6
7.07,5.2771,4.5,2.5,2.5,5.5,14.14,595.0,11.0,1.66,0.98,7.44,1.3
0.826071429,6.136785714,10.0,2.5,1.0,0.0,23.13,8399.0,0.0,2.34,2.79,49.98,6.53
1.94,7.215714286,7.142857143,3.142857143,0.634285714,2.857142857,13.58,1433.0,20.0,8.65,2.17,7.6,4.35
5.815,4.67,10.0,2.0,3.22,0.0,11.63,588.0,0.0,0.17,0.55,22.11,1.48194
4.188,5.48512,9.066666667,2.933333333,2.429333333,0.933333333,62.82,4651.0,14.0,5.83,1.39,18.15,2.41
7.326666667,5.063333333,7.666666667,5.0,3.26,2.333333333,21.98,1097.0,7.0,7.61,0.96,17.31,1.0
7.57,4.92795,2.5,2.5,2.72,7.5,30.28,862.0,30.0,6.0,0.52,13.348,1.8
6.277142857,5.3972,5.714285714,3.428571429,2.348571429,4.285714286,43.94,1628.0,30.0,6.61,0.55,15.071,1.8
3.007142857,6.592514286,7.142857143,3.428571429,1.142857143,2.857142857,21.05,1588.0,20.0,9.75,2.51,11.08,3.08
5.25,8.0285,8.75,4.25,1.445,1.25,21.0,1517.0,5.0,21.0,2.27,32.98,2.3
8.623333333,5.057866667,3.333333333,2.0,2.96,6.666666667,25.87,643.0,20.0,9.83,0.9,2.422,1.0
4.51,4.595,5.0,2.5,3.5,5.0,9.02,714.0,10.0,4.36,0.01,30.68,1.9
3.561111111,5.331666667,10.0,3.333333333,2.111111111,0.0,64.1,4361.0,0.0,4.79,1.84,47.32,1.76
9.233,6.39376,0.0,2.0,3.22,10.0,18.466,272.0,20.0,7.26,0.62,15.195,0.075
